"x","y","cellNos","raw_2011_ascii","thppm","SAGA_wetness_index","MRRTF","Filled_DEM","drainage_2011","Altitude_Above_Channel_Network","survey","sampleNos"
"1",337859.8,6372415.5,0,26.51569,7.34308290481567,15.353818,0.050929,120.4077,4.87413,1.929291,1,12
"2",340884.8,6380690.5,0,27.84268,11.7027730941772,11.766503,0.029251,98.030998,3.871169,55.844597,1,3
"3",341834.8,6365965.5,0,26.591351,4.96294641494751,11.739967,1.216011,120.793999,4.64752,23.393959,1,9
"4",339859.8,6369065.5,0,26.01977,6.97532939910889,14.523517,0.152942,117.0327,4.479763,11.808784,1,27
"5",340984.8,6368240.5,0,25.744829,9.28562831878662,10.762621,0.151083,126.432297,4.996192,28.83242,1,16
"6",344059.8,6376715.5,0,25.380911,9.56887054443359,18.559875,2.281507,55.007999,4.544861,11.914528,1,16
"7",347034.8,6372740.5,0,25.660959,12.1936988830566,14.450712,0.392734,73.217499,3.79122,19.228752,1,30
"8",338234.8,6368765.5,0,27.43215,3.64287161827087,17.766211,0.01673,135.153198,3.995466,0,1,4
"9",341759.8,6366015.5,0,26.323219,4.91565561294556,11.564466,1.885454,124.822502,4.621401,26.847137,1,6
"10",337334.8,6371090.5,0,25.902451,6.07490491867065,12.7838,0.068526,164.938797,4.425344,32.25946,1,8
"11",348284.8,6377215.5,0,27.48311,10.6670913696289,11.199173,1.780275,99.963997,4.185141,54.404781,1,2
"12",341759.8,6365340.5,0,26.014709,4.68421936035156,16.269865,2.978531,123.114799,4.426721,23.728088,1,4
"13",343284.8,6369715.5,0,26.22291,8.41905403137207,17.837074,0.966727,76.332497,3.287856,7.207497,1,13
"14",343634.8,6377115.5,0,25.650789,9.11782360076904,19.247757,1.433081,51.321499,3.995516,9.136318,1,17
"15",341384.8,6375915.5,0,25.502689,11.4954833984375,11.522408,1.085516,86.654068,3.485705,29.417019,1,14
"16",350959.8,6374590.5,0,25.832081,7.24331855773926,12.265871,1.430221,81.017967,2.012911,28.670902,1,2
"17",347909.8,6375165.5,0,25.6856,10.9291658401489,15.573525,0.801871,68.871872,2.81619,19.473831,1,13
"18",346934.8,6370115.5,0,27.013651,8.60092639923096,16.60224,1.162219,65.559502,4.052609,9.702267,1,20
"19",337459.8,6372390.5,0,27.590059,7.1597957611084,15.196711,0.047614,122.5513,3.493814,0.981697,1,3
"20",339259.8,6368940.5,0,25.595301,6.4118275642395,15.72077,0.509374,124.671501,4.900421,8.539948,1,15
"21",336959.8,6381315.5,0,25.500811,9.6933765411377,12.10446,0.078537,90.779312,4.316074,26.473129,1,34
"22",349359.8,6374915.5,0,25.507641,13.2037162780762,13.667047,2.417988,77.871819,3.267757,26.655525,1,8
"23",340859.8,6368090.5,0,25.513611,8.72356510162354,10.386094,0.039218,132.479797,3.45615,32.431305,1,2
"24",338309.8,6371840.5,0,26.55514,6.57912731170654,13.826244,0.157428,128.412003,4.419535,7.493294,1,12
"25",346584.8,6370215.5,0,27.347469,8.29838562011719,17.569601,0.175576,60.479252,4.422585,5.396748,1,23
"26",338159.8,6374115.5,0,25.746401,7.32840299606323,14.901388,1.579068,96.857552,3.461159,9.751335,1,8
"27",343259.8,6377265.5,0,25.35379,10.0707654953003,18.062794,1.525944,55.679001,4.735998,13.309547,1,13
"28",341059.8,6368390.5,0,26.501499,9.63875770568848,12.182307,0.135436,118.886497,4.994684,23.046959,1,11
"29",336309.8,6382340.5,0,25.579229,9.92996788024902,16.114956,1.691626,70.413307,4.9229,9.001827,1,26
"30",337534.8,6374215.5,0,25.878639,7.07455730438232,14.785414,2.958914,101.737297,4.96734,14.427605,1,8
"31",343509.8,6376865.5,0,26.62417,9.94112396240234,17.453966,0.209126,58.766251,4.879388,15.089264,1,11
"32",339659.8,6365515.5,0,25.63526,5.44243812561035,13.460038,0.013087,170.881302,3.993813,55.778404,1,4
"33",340084.8,6365190.5,0,25.696739,5.00448226928711,13.801155,0.225478,149.016006,3.993749,37.471733,1,5
"34",342484.8,6366240.5,0,26.866989,5.74572563171387,15.662535,1.577736,100.739304,4.902209,9.880959,1,15
"35",337784.8,6382190.5,0,25.72781,14.1130781173706,13.633404,0.019604,89.804749,4.481064,32.784695,1,21
"36",348409.8,6371065.5,0,27.24548,10.8796577453613,15.997264,0.370054,71.911499,2.150578,11.866096,1,6
"37",341534.8,6373090.5,0,25.052389,10.752724647522,14.760836,0.111095,88.680252,4.988763,10.689301,1,33
"38",342109.8,6379165.5,0,26.90868,8.63371753692627,16.719219,1.63313,53.3265,4.840251,15.397141,1,7
"39",342234.8,6366890.5,0,26.322451,6.41166830062866,9.926524,1.547449,132.515305,3.033213,41.327339,1,1
"40",341409.8,6366490.5,0,25.292101,4.97157192230225,9.79607,0.299405,155.066299,4.720909,54.641655,1,4
